Date,Ret_Lag_1,Ret_Lag_2,Ret_Lag_3,Ret_Lag_7,Ret_Lag_14,Ret_Lag_30,Close_to_MA_7,Close_to_MA_30,Close_to_MA_90,Vol_7,Vol_30,Mom_30,HL_Range,Volume_Change,Target,Close,DOW_Monday,DOW_Saturday,DOW_Sunday,DOW_Thursday,DOW_Tuesday,DOW_Wednesday,Split
2018-06-03,0.19129557812046685,0.5081788271578012,0.0026539260714202473,-1.2074443680365206,-0.6027837331314839,0.3608482429448504,0.5448857608130179,-0.7668440947661322,-0.6625550785994664,-0.30710466370203504,-0.42898180748520287,-1.2882955900676192,-0.7000339503712233,0.27360296304740833,-0.028360377892706623,7703.67,0,0,1,0,0,0,train
2018-06-04,-1.0657011325026509,0.19147156618462727,0.507779997544459,1.602001673111915,-1.8024373833869323,-0.7937039260447776,-0.26529422188285656,-0.9157762133579507,-0.750955698341054,-0.36422373062457114,-0.431229172188678,-1.4746733116781585,-0.2423825465028506,0.645251855847028,0.01717478189726762,7488.26,1,0,0,0,0,0,train
2018-06-05,0.5068510503017343,-1.0651519752118412,0.19117311265333667,-0.5223228973359754,-2.079060300532995,-1.0442480935789316,0.05878529406082123,-0.7140882185515565,-0.6765162788824227,-0.7560262911991463,-0.4107096676387006,-1.3046398311732925,-0.22297381595593893,0.5862899872345935,0.00531403955977261,7617.98,0,0,0,0,1,0,train
2018-06-06,0.09724150158077403,0.5069333582547825,-1.0650521589108848,0.45388341472381394,0.29730149250391724,-0.7994124161449543,0.0582101258943449,-0.6141272439017528,-0.6485438429096448,-0.8327719232918405,-0.4214242462893637,-1.155277903170778,-0.6822199774017399,-0.5631460165834752,0.004001868793992003,7658.57,0,0,0,0,0,1,train
2018-06-07,0.05192581560409455,0.0974454118238144,0.5065349233759608,0.001974551601954214,-0.6158729249229891,0.43863200991898754,0.06502479556871386,-0.5309708210974264,-0.6257201303867846,-0.8691431575425363,-0.42558134496116823,-1.0438814083761287,-1.014363015785117,0.11321458483097645,-0.00929884360814981,7689.28,0,0,0,1,0,0,train
2018-06-08,-0.40741295508023895,0.05214317888113897,0.09717675861019293,0.5067407426136823,-0.7155685060336571,-1.1666615737285764,-0.19034742251956277,-0.5490017589250787,-0.65460405124355,-0.8258842907058533,-0.4440461812329224,-1.1545108780347255,-0.9121897083130075,-0.781572901907093,-0.016599094225147937,7618.11,0,0,0,0,0,0,train
2018-06-09,-0.6595263789867275,-0.40705922621657237,0.05188888359741466,0.19035942642357057,-0.032802824509747606,-2.0801922668605197,-0.4984787921879838,-0.631669332901511,-0.7058518207161042,-0.8396974607252741,-0.4653965030093337,-1.0879101469204882,-0.6414131368346627,-0.8896507004411671,-0.09977955977632291,7492.7,0,1,0,0,0,0,train
2018-06-10,-2.0794756103812393,-0.6590978042856518,-0.40716798350994315,-1.064970839010949,-1.2059589405092386,0.19988411403201353,-2.1895434219821555,-1.3512045601487017,-1.0448065172767673,0.44034994739241606,-0.2819302326684709,-1.2223214133152605,2.3381093210592003,2.558596784077208,0.014557657369513421,6781.17,0,0,1,0,0,0,train
2018-06-11,0.4164689168520366,-2.080023267516865,-0.6591266813612002,0.5054965555066355,1.6011047656074122,0.7757498858953978,-1.7077032814457727,-1.1910470303432321,-0.9852944785350092,0.5224912472002319,-0.2732796587098457,-1.1941512256722697,-0.26082251565766096,-0.37766924832326754,-0.048071953868863204,6880.61,1,0,0,0,0,0,train
2018-06-12,-1.7464384346399855,0.4165780568807436,-2.0806748145688285,0.09643004071400721,-0.5214184344745998,-0.17435453593053565,-2.1895434219821555,-1.4788134414387657,-1.1376715963628923,0.5030734607699464,-0.2552035816874888,-1.5237023613615792,0.43437834240019485,-0.41754516635808675,-0.03891180967127106,6557.67,0,0,0,0,1,0,train
